,Recording timestamp [μs],Computer timestamp [μs],Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration [ms],Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height [px],Recording resolution width [px],Recording monitor latency [ms],Average calibration accuracy [mm],Average calibration precision SD [mm],Average calibration precision RMS [mm],Average calibration accuracy [°],Average calibration precision SD [°],Average calibration precision RMS [°],Average calibration accuracy [px],Average calibration precision SD [px],Average calibration precision RMS [px],Average validation accuracy [mm],Average validation precision SD [mm],Average validation precision RMS [mm],Average validation accuracy [°],Average validation precision SD [°],Average validation precision RMS [°],Average validation accuracy [px],Average validation precision SD [px],Average validation precision RMS [px],Eyetracker timestamp [μs],Event,Event value,Gaze point X [DACS px],Gaze point Y [DACS px],Gaze point left X [DACS px],Gaze point left Y [DACS px],Gaze point right X [DACS px],Gaze point right Y [DACS px],Gaze direction left X [DACS norm],Gaze direction left Y [DACS norm],Gaze direction left Z [DACS norm],Gaze direction right X [DACS norm],Gaze direction right Y [DACS norm],Gaze direction right Z [DACS norm],Pupil diameter left [mm],Pupil diameter right [mm],Pupil diameter filtered [mm],Validity left,Validity right,Eye position left X [DACS mm],Eye position left Y [DACS mm],Eye position left Z [DACS mm],Eye position right X [DACS mm],Eye position right Y [DACS mm],Eye position right Z [DACS mm],Gaze point left X [DACS mm],Gaze point left Y [DACS mm],Gaze point right X [DACS mm],Gaze point right Y [DACS mm],Gaze point X [MCS norm],Gaze point Y [MCS norm],Gaze point left X [MCS norm],Gaze point left Y [MCS norm],Gaze point right X [MCS norm],Gaze point right Y [MCS norm],Presented Stimulus name,Presented Media name,Presented Media width [px],Presented Media height [px],Presented Media position X [DACS px],Presented Media position Y [DACS px],Original Media width [px],Original Media height [px],Eye movement type,Gaze event duration [ms],Eye movement type index,Fixation point X [DACS px],Fixation point Y [DACS px],Fixation point X [MCS norm],Fixation point Y [MCS norm],Ungrouped,Client area position X [px],Client area position Y [px],Viewport position X [px],Viewport position Y [px],Viewport width [px],Viewport height [px],Full page width [px],Full page height [px],Mouse position X [DACS px],Mouse position Y [DACS px],gaze hit,hardcore_hit
29,88703124,145884774438,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950454238.0,,,961.0,561.0,975.0,570.0,948.0,552.0,0.05402,0.09926,-0.99359,-0.06122,0.08755,-0.99428,3.688,3.579,3.636,Valid,Valid,269.4,113.6,642.5,335.2,116.0,640.8,304.3,177.8,295.8,172.4,0.5007,0.5195,0.5078,0.5274,0.4936,0.5115,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,650.0,183.0,955.0,574.0,0.4975,0.5311,,,,,,,,,,,,no hit,0
30,88711457,145884782771,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950462571.0,,,958.0,569.0,970.0,569.0,946.0,568.0,0.05191,0.0989,-0.99374,-0.06173,0.09521,-0.99354,3.701,3.597,3.64,Valid,Valid,269.3,113.6,642.3,335.2,116.0,640.7,302.9,177.6,295.4,177.4,0.4992,0.5265,0.5055,0.5268,0.4929,0.5262,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,650.0,183.0,955.0,574.0,0.4975,0.5311,,,,,,,,,,,,no hit,0
31,88719790,145884791104,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950470904.0,,,964.0,568.0,976.0,569.0,951.0,567.0,0.05478,0.09902,-0.99358,-0.05939,0.09474,-0.99373,3.693,3.588,3.644,Valid,Valid,269.3,113.7,642.1,335.1,116.0,640.5,304.7,177.7,296.8,177.1,0.5019,0.5263,0.5085,0.5272,0.4954,0.5254,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,650.0,183.0,955.0,574.0,0.4975,0.5311,,,,,,,,,,,,no hit,0
32,88728125,145884799439,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950479238.0,,,964.0,565.0,976.0,570.0,952.0,560.0,0.0547,0.09937,-0.99355,-0.05893,0.0912,-0.99409,3.703,3.567,3.645,Valid,Valid,269.3,113.7,642.0,335.1,116.1,640.3,304.6,177.9,297.1,174.8,0.5021,0.5232,0.5083,0.5279,0.4959,0.5186,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,260.0,,,,,,,,,,,,,,,,no hit,0
33,88736459,145884807773,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950487572.0,,,998.0,571.0,1011.0,571.0,984.0,570.0,0.07153,0.09983,-0.99243,-0.04343,0.09607,-0.99443,3.702,3.616,3.635,Valid,Valid,269.3,113.7,642.0,335.1,116.1,640.2,315.6,178.3,307.2,177.9,0.5196,0.5284,0.5267,0.529,0.5126,0.5279,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,260.0,,,,,,,,,,,,,,,,no hit,0
34,88744792,145884816106,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950495905.0,,,1031.0,550.0,1043.0,557.0,1020.0,542.0,0.08662,0.09295,-0.9919,-0.02631,0.08279,-0.99622,3.723,3.566,3.638,Valid,Valid,269.4,113.7,641.9,335.2,116.1,640.1,325.5,173.9,318.2,169.3,0.5371,0.5091,0.5431,0.5159,0.5311,0.5023,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,260.0,,,,,,,,,,,,,,,,no hit,0
35,88753129,145884824443,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950504241.0,,,1032.0,550.0,1044.0,561.0,1021.0,538.0,0.08736,0.09461,-0.99167,-0.02585,0.08083,-0.99639,3.71,3.562,3.641,Valid,Valid,269.4,113.8,641.8,335.1,116.1,640.0,325.9,175.0,318.5,168.1,0.5377,0.5089,0.5439,0.5191,0.5316,0.4986,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,260.0,,,,,,,,,,,,,,,,no hit,0
36,88761463,145884832777,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950512575.0,,,1004.0,555.0,1016.0,563.0,992.0,548.0,0.07383,0.09557,-0.99268,-0.03976,0.08549,-0.99555,3.711,3.595,3.64,Valid,Valid,269.4,113.8,641.8,335.1,116.1,640.1,317.1,175.6,309.5,171.1,0.5228,0.5142,0.5292,0.5209,0.5165,0.5076,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,260.0,,,,,,,,,,,,,,,,no hit,0
37,88769795,145884841109,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950520907.0,,,985.0,539.0,995.0,551.0,976.0,528.0,0.06363,0.08997,-0.99391,-0.04751,0.07578,-0.99599,3.695,3.572,3.636,Valid,Valid,269.3,113.8,641.7,335.1,116.1,640.1,310.4,171.9,304.5,164.8,0.5131,0.4994,0.518,0.5099,0.5082,0.4889,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,260.0,,,,,,,,,,,,,,,,no hit,0
38,88778130,145884849444,Eye Tracker,IdentiGaze-prototype,2023-03-30,chungha,Recording20,2023-03-20,2023-03-20,14:11:59.980,05:11:59.980,270054,Timeline1,Tobii I-VT (Fixation),1.207.44884,1080,1920,10.0,0.6,2.1,2.2,0.05,0.17,0.19,2,7,7,7.9,5.3,2.1,0.7,0.45,0.18,25,17,7,145950529241.0,,,983.0,537.0,992.0,543.0,975.0,530.0,0.06234,0.08632,-0.99432,-0.04791,0.07654,-0.99591,3.7,3.57,3.64,Valid,Valid,269.3,113.9,641.6,335.0,116.2,640.0,309.5,169.6,304.3,165.3,0.5121,0.4968,0.5165,0.5031,0.5077,0.4905,Screen Recording,Screen Recording Recording20.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,233.0,184.0,986.0,543.0,0.5135,0.5031,,,,,,,,,,,,no hit,0
